Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:


        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz          C       Area
    5.8791     5.9867   337.4936     0.0043     0.0136    -0.9999     0.5926     0.8054     0.0135     0.8055    -0.5925    -0.0046     0.2297   112.5470
    5.8911     6.0068   336.9942     0.0291     0.0474    -0.9985    -0.5917    -0.8043    -0.0554    -0.8056     0.5924     0.0046     0.0617   112.7099
    5.9030     6.0269   336.4948     0.0226     0.0385    -0.9990     0.5899     0.8063     0.0444     0.8072    -0.5903    -0.0045     0.0176   112.6478
    5.9150     6.0470   335.9955     0.0239     0.0403    -0.9989    -0.5744    -0.8172    -0.0467    -0.8182     0.5749     0.0036     0.0085   112.6594
    5.9269     6.0672   335.4961     0.0250     0.0420    -0.9988     0.5578     0.8285     0.0488     0.8296    -0.5583    -0.0027     0.0166   112.6703
    5.9388     6.0873   334.9968     0.0193     0.0334    -0.9993    -0.5556    -0.8306    -0.0385    -0.8313     0.5559     0.0025     0.0578   112.6196
    5.9459     6.1000   334.4971     0.0115     0.0218    -0.9997     0.5750     0.8178     0.0244     0.8181    -0.5751    -0.0031     0.0018   112.5700
    5.9517     6.1110   333.9973     0.0117     0.0221    -0.9997    -0.8272    -0.5614    -0.0221    -0.5617     0.8272     0.0117     0.0004   112.5711
    5.9575     6.1220   333.4976     0.0117     0.0219    -0.9997     0.3893    -0.9210    -0.0156    -0.9210    -0.3890    -0.0193     0.0007   112.5706
    5.9634     6.1330   332.9978     0.0116     0.0224    -0.9997    -0.2552     0.9667     0.0187     0.9668     0.2549     0.0169     0.0027   112.5718
    5.9692     6.1440   332.4981     0.0120     0.0206    -0.9997     0.2464    -0.9690    -0.0170    -0.9691    -0.2461    -0.0167     0.0102   112.5680
    5.9765     6.1494   331.9983     0.0189    -0.0065    -0.9998     0.2450    -0.9695     0.0110    -0.9693    -0.2451    -0.0167     0.1017   112.5587
    5.9877     6.1390   331.4987     0.0235    -0.0246    -0.9994    -0.2434     0.9695    -0.0296     0.9697     0.2439     0.0168     0.0272   112.6014
    5.9990     6.1286   330.9990     0.0222    -0.0197    -0.9996     0.2256    -0.9739     0.0242    -0.9740    -0.2260    -0.0172     0.0069   112.5860
    6.0102     6.1182   330.4993     0.0227    -0.0213    -0.9995     0.5540     0.8325    -0.0051     0.8322    -0.5536     0.0307     0.0007   112.5908
    6.0215     6.1078   329.9996     0.0220    -0.0200    -0.9996    -0.5698     0.8213    -0.0290     0.8215     0.5702     0.0067     0.0054   112.5863
    6.0327     6.0974   329.5000     0.0242    -0.0235    -0.9994     0.5455    -0.8375     0.0329    -0.8378    -0.5460    -0.0075     0.0219   112.6006
    6.0466     6.0831   329.0005     0.0315    -0.0346    -0.9989     0.5437    -0.8380     0.0461    -0.8387    -0.5446    -0.0076     0.0312   112.6599
    6.0635     6.0639   328.5012     0.0344    -0.0392    -0.9986    -0.5492     0.8341    -0.0516     0.8350     0.5502     0.0072     0.0094   112.6900
